,id,id_str,user_location,country_location
275,1355866180318339073,1355866180318339073,Jamaica- Trinidad &Tobago,Unknown
276,1355866087989125121,1355866087989125121,Jamaica- Trinidad &Tobago,Unknown
277,1355772783742111752,1355772783742111752,Not Available,Unknown
278,1355717910409342979,1355717910409342979,Not Available,Unknown
279,1355707088752701444,1355707088752701444,Not Available,Unknown
280,1360674394243227649,1360674394243227649,"East Lansing, MI",United States
281,1360651464977371141,1360651464977371141,"Koh Tao, Thailand",Thailand
282,1360634508148695042,1360634508148695042,"East Lansing, MI",United States
283,1360624775190749189,1360624775190749189,Not Available,Unknown
284,1360590398150836232,1360590398150836232,Paris,France
285,1360560541421481986,1360560541421481986,UK,United Kingdom
286,1360532164929028096,1360532164929028096,Under the sea,Unknown
287,1360526881146220544,1360526881146220544,"Washington, DC",United States
288,1360491133525127170,1360491133525127170,Håfa adai from Guam!,Guam
289,1360472913292513282,1360472913292513282,United Kingdom,United Kingdom
290,1360334995710124032,1360334995710124032,"Irvine, CA",United States
291,1360303413507092482,1360303413507092482,Grand Cayman & Pittsburgh PA,United States
292,1360294676708925444,1360294676708925444,Not Available,Unknown
293,1360287709919518723,1360287709919518723,"Washington, DC",United States
294,1360270356074889216,1360270356074889216,Not Available,Unknown
295,1360228348874612736,1360228348874612736,Cayman Islands,Cayman Islands
296,1360226518606245897,1360226518606245897,"Milton Keynes, England",United Kingdom
297,1360203662279266304,1360203662279266304,"Orlando, FL",United States
298,1360195970529714177,1360195970529714177,Not Available,Unknown
299,1360180296151429121,1360180296151429121,UK,United Kingdom
300,1360083389185888262,1360083389185888262,"Auckland, Sydney",Australia
301,1360075606247968773,1360075606247968773,Great Barrier Reef,Australia
302,1360069598830231556,1360069598830231556,"Hawaii, USA",United States
303,1360027519437709312,1360027519437709312,Not Available,Unknown
304,1359994918836535299,1359994918836535299,Planet Earth,Unknown
305,1359986871921766400,1359986871921766400,70 miles west of Key West,United States
306,1359980931805712387,1359980931805712387,"Sunshine Coast, Australia",Australia
307,1359911578691371012,1359911578691371012,"Sant Just Desvern, Catalonia",Spain
308,1359886643155640320,1359886643155640320,"Key Largo, FL",United States
309,1359874015993683968,1359874015993683968,"New York, NY",United States
310,1359862572023963648,1359862572023963648,"Cambridge, UK",United Kingdom
311,1359743719642189825,1359743719642189825,"Townsville, Australia",Australia
312,1359695434042593281,1359695434042593281,Hong Kong,China
313,1359638680122650631,1359638680122650631,Not Available,Unknown
314,1359608095698259970,1359608095698259970,Not Available,Unknown
315,1359525158222970890,1359525158222970890,Not Available,Unknown
316,1359515083018272768,1359515083018272768,Not Available,Unknown
317,1359461452273225736,1359461452273225736,14 || she/her,Unknown
318,1359452478517960706,1359452478517960706,Paris,France
319,1359434497515741184,1359434497515741184,Global,Unknown
320,1359424216416845828,1359424216416845828,"Nakuru, Kenya",Kenya
321,1359382789024436225,1359382789024436225,Hong Kong,China
322,1359353890857222145,1359353890857222145,Not Available,Unknown
323,1359351255403925507,1359351255403925507,California,United States
324,1359307024656306182,1359307024656306182,Sri Lanka #upcountry,Sri Lanka
325,1359298391377870851,1359298391377870851,Not Available,Unknown
326,1359280482823917570,1359280482823917570,Not Available,Unknown
327,1359263920372944896,1359263920372944896,"Perth, Western Australia",Australia
328,1359253741040328707,1359253741040328707,United States,United States
329,1359252311155957761,1359252311155957761,Not Available,Unknown
330,1359249628068257807,1359249628068257807,Not Available,Unknown
331,1359247351164985344,1359247351164985344,Australia,Australia
332,1359220875682324484,1359220875682324484,Nairobi,Kenya
333,1359198255117201409,1359198255117201409,"Boscombe UK, bwo the Caribbean",Australia
334,1359162925085315073,1359162925085315073,Not Available,Unknown
335,1359157209087832065,1359157209087832065,WorldWide,Unknown
336,1359154864186621967,1359154864186621967,Monaco,Monaco
337,1359114364356333572,1359114364356333572,"Tampa, FL",United States
338,1359108924020908032,1359108924020908032,Maldives,Maldives
339,1359099089422585856,1359099089422585856,Not Available,Unknown
340,1359083576529018882,1359083576529018882,Sapporo,Japan
341,1359071700860682241,1359071700860682241,University of Exeter,United Kingdom
342,1359062259016683520,1359062259016683520,3rd Rock from the Sun!,Unknown
343,1358997039854456832,1358997039854456832,Canberra,Australia
344,1358957723170209793,1358957723170209793,"Hobart, Tasmania",Australia
345,1358911322700853248,1358911322700853248,Not Available,Unknown
346,1358902530571268099,1358902530571268099,Last Frontier - North of 61°,Unknown
347,1358892202944983042,1358892202944983042,Coconut Island (Moku o Loʻe),United States
348,1358870052708233219,1358870052708233219,Not Available,Unknown
349,1358848288569446400,1358848288569446400,"Pawtucket, Massachusett lands",United States
350,1358783956536094720,1358783956536094720,Los Angeles,United States
351,1358714659180843009,1358714659180843009,Not Available,Unknown
352,1358705917123039233,1358705917123039233,Paris,France
353,1358637349685481472,1358637349685481472,Mumbai,India
354,1358577478747512833,1358577478747512833,"Duke Nukem, NM",United States
